trial;present;key;iter_ns;rec_ns;iter_found;rec_found
509;1;10218.6900000001;100;100;1;1
510;0;2496.8714500000;200;100;0;0
511;0;10609.2464500001;100;100;0;0
512;0;9507.2244500000;100;100;0;0
513;0;2659.8194500000;100;100;0;0
514;0;13373.0494500002;100;100;0;0
515;0;11424.9264500001;100;100;0;0
516;0;8186.9534500000;100;100;0;0
517;1;5946.1550000000;100;100;1;1
518;1;7494.8860000000;100;100;1;1
519;1;10539.1690000001;0;0;1;1
520;0;4324.5774500000;100;100;0;0
521;1;11194.3490000001;100;100;1;1
522;0;673.2424500000;100;100;0;0
523;1;11480.4830000001;100;100;1;1
524;0;6042.0904500000;100;0;0;0
525;0;11153.0854500001;0;0;0;0
526;0;13450.8554500002;100;100;0;0
527;1;128.5670000000;100;100;1;1
528;1;14118.9500000002;200;100;1;1
529;0;2968.3304500000;100;100;0;0
530;1;11032.1230000001;0;0;1;1
531;1;5224.0790000000;100;100;1;1
532;1;11700.3110000001;100;100;1;1
533;1;8779.7010000000;100;100;1;1
534;0;7813.1294500000;100;100;0;0
535;0;14380.5504500002;100;100;0;0
536;0;4893.9194500000;100;100;0;0
537;0;516.4924500000;0;0;0;0
538;0;11321.9404500001;100;100;0;0
539;0;5338.7364500000;100;100;0;0
540;1;392.9640000000;100;100;1;1
541;1;6212.3130000000;100;100;1;1
542;0;521.2894500000;100;100;0;0
543;1;13331.8140000002;100;0;1;1
544;0;607.1184500000;100;100;0;0
545;1;6637.9430000000;100;100;1;1
546;0;4080.1954500000;100;100;0;0
547;0;3229.2764500000;100;100;0;0
548;0;2042.6874500000;100;100;0;0
549;0;12684.2484500002;100;100;0;0
550;0;1533.5984500000;100;100;0;0
551;1;6050.4660000000;100;100;1;1
552;1;11118.1350000001;100;100;1;1
553;1;14925.8640000002;100;100;1;1
554;1;5179.4010000000;100;100;1;1
555;1;11961.7090000001;100;0;1;1
556;0;13444.9574500002;100;100;0;0
557;1;339.2310000000;100;100;1;1
558;0;14705.6064500002;100;100;0;0
559;1;12283.3580000001;0;0;1;1
560;0;10364.8654500001;100;100;0;0
561;1;3306.7770000000;100;100;1;1
562;0;5023.4154500000;100;100;0;0
563;1;11302.8790000001;100;100;1;1
564;0;8515.9824500000;100;100;0;0
565;1;12509.8910000001;100;100;1;1
566;0;15456.9054500002;200;100;0;0
567;1;6987.8620000000;100;100;1;1
568;1;11543.9600000001;100;100;1;1
569;1;9680.0900000000;100;100;1;1
570;0;11398.8294500001;100;100;0;0
571;1;6791.2690000000;100;100;1;1
572;0;13692.8114500002;100;100;0;0
573;0;10862.7704500001;100;0;0;0
574;1;9765.9280000001;100;0;1;1
575;0;12498.6364500001;100;100;0;0
576;1;12002.7020000001;200;100;1;1
577;0;11600.9854500001;100;100;0;0
578;1;10563.3380000001;100;100;1;1
579;0;7372.9644500000;100;100;0;0
580;1;3917.0250000000;100;0;1;1
581;0;15826.3214500002;100;100;0;0
582;0;11798.3934500001;100;100;0;0
583;1;10534.7210000001;100;100;1;1
584;0;3573.1794500000;100;100;0;0
585;0;1643.8034500000;100;0;0;0
586;0;10392.5134500001;100;100;0;0
587;0;2814.6484500000;100;100;0;0
588;1;10836.1130000001;100;100;1;1
589;0;2876.8814500000;200;100;0;0
590;0;5088.5664500000;100;100;0;0
591;0;1512.2884500000;100;100;0;0
592;1;15304.6250000002;100;100;1;1
593;0;13966.9004500002;100;100;0;0
594;0;1439.0614500000;100;0;0;0
595;1;6618.9730000000;0;100;1;1
596;1;2303.9610000000;100;100;1;1
597;0;10356.4424500001;100;100;0;0
598;0;2025.8444500000;100;200;0;0
599;1;14605.7670000002;200;100;1;1
600;1;9531.2950000000;100;100;1;1
601;0;4035.6234500000;100;100;0;0
602;1;15950.2710000002;100;100;1;1
603;0;1114.1874500000;100;100;0;0
604;1;6894.6350000000;100;100;1;1
605;1;3051.1620000000;100;100;1;1
606;1;4409.2560000000;100;100;1;1
607;1;3948.3100000000;100;100;1;1
608;1;6167.7140000000;100;100;1;1
609;0;5592.1024500000;100;100;0;0
610;1;7934.2070000000;100;100;1;1
611;0;12510.0144500001;100;100;0;0
612;1;9983.9660000001;100;100;1;1
613;0;12812.7344500002;0;100;0;0
614;1;14505.9430000002;100;100;1;1
615;0;5421.4954500000;100;100;0;0
616;0;11510.4324500001;100;100;0;0
617;1;10393.9540000001;100;0;1;1
618;1;9696.1420000001;100;0;1;1
619;0;7377.0314500000;100;100;0;0
620;1;12669.9470000002;100;100;1;1
621;0;1914.6344500000;200;100;0;0
622;0;11885.5754500001;200;100;0;0
623;0;298.1634500000;100;100;0;0
624;0;11820.0814500001;100;100;0;0
625;1;10870.0340000001;0;100;1;1
626;0;11955.3394500001;100;100;0;0
627;1;407.1430000000;100;100;1;1
628;1;9462.7110000000;100;100;1;1
629;0;3742.1194500000;100;100;0;0
630;0;12947.5394500002;100;100;0;0
631;0;6506.4174500000;100;100;0;0
632;0;176.2514500000;100;100;0;0
633;1;10520.3290000001;0;0;1;1
634;0;6315.9814500000;100;0;0;0
635;1;15660.4090000002;200;100;1;1
636;1;14848.0280000002;100;100;1;1
637;0;2645.2144500000;100;100;0;0
638;0;15770.9164500002;200;100;0;0
639;0;8005.2054500000;100;100;0;0
640;0;2729.7564500000;100;100;0;0
641;1;1443.2740000000;100;100;1;1
642;0;12158.9084500001;100;100;0;0
643;0;15477.2304500002;100;0;0;0
644;1;8148.7020000000;100;100;1;1
645;1;9099.0850000000;100;100;1;1
646;1;10367.0370000001;100;0;1;1
647;0;13207.4954500002;200;100;0;0
648;1;7505.7340000000;100;0;1;1
649;0;6997.6834500000;100;0;0;0
650;1;4787.7360000000;100;100;1;1
651;1;8244.2980000000;100;100;1;1
652;0;8928.2354500000;100;100;0;0
653;1;4888.0550000000;100;100;1;1
654;1;4987.5480000000;100;100;1;1
655;1;388.8780000000;200;0;1;1
656;1;7113.4890000000;100;100;1;1
657;0;10753.9294500001;100;100;0;0
658;1;7764.6670000000;100;100;1;1
659;1;9769.2060000001;100;100;1;1
660;0;5723.1224500000;100;100;0;0
661;0;2286.5484500000;100;100;0;0
662;0;4054.5144500000;100;100;0;0
663;1;9172.3690000000;100;100;1;1
664;1;9000.5030000000;100;100;1;1
665;1;15217.7430000002;100;100;1;1
666;0;4564.7504500000;100;100;0;0
667;1;4541.1930000000;0;100;1;1
668;0;15250.0344500002;100;100;0;0
669;1;4852.3680000000;100;100;1;1
670;1;1650.8830000000;100;0;1;1
671;0;4103.1054500000;0;0;0;0
672;0;12943.5544500002;0;0;0;0
673;0;3460.0114500000;100;100;0;0
674;1;14750.7570000002;100;100;1;1
675;0;4965.9114500000;100;100;0;0
676;0;10763.4974500001;100;100;0;0
677;1;2082.3380000000;100;0;1;1
678;0;8175.1054500000;100;0;0;0
679;1;15291.8250000002;0;0;1;1
680;1;4973.6680000000;100;0;1;1
681;1;14309.2090000002;100;100;1;1
682;1;5591.9320000000;100;6600;1;1
683;1;12447.1160000001;100;100;1;1
684;1;14029.0170000002;100;100;1;1
685;0;11380.3454500001;100;0;0;0
686;1;11788.2910000001;100;100;1;1
687;0;1698.9274500000;100;100;0;0
688;1;432.6830000000;100;100;1;1
689;0;5840.5264500000;100;100;0;0
690;1;764.6090000000;100;100;1;1
691;1;11268.3530000001;100;100;1;1
692;1;7612.7850000000;100;100;1;1
